,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
0,1252,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,2389000.0,2389000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,2389000.0,regional_grouped,,Europe,2389000.0,0,,2025-01-01 00:00:00,,Europe
1,1262,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,1663206.02,1663206.02,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,1663206.02,regional_grouped,,Europe,1663206.02,0,,2025-01-01 00:00:00,,Europe
2,1264,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,7305000.0,7305000.0,EUR,-,0,National Office / Partners,Donated Income (EUR) by  WWF Office,,0,,7305000.0,regional_grouped,,Europe,7305000.0,0,,2025-01-01 00:00:00,,Europe
3,1278,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,2975665.23,2975665.23,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,2975665.23,regional_grouped,,Latin America/Caribbean,2975665.23,0,,2025-01-01 00:00:00,,Latin America/Caribbean
4,1279,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,629485.5,629485.5,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,629485.5,regional_grouped,,Latin America/Caribbean,629485.5,0,,2025-01-01 00:00:00,,Latin America/Caribbean
5,1299,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-North Africa,Country Office,International Country Office,Europe,Actual,286000.0,286000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,286000.0,regional_grouped,,Europe,286000.0,0,,2025-01-01 00:00:00,,Europe
6,1301,NPO FY2025,2025,1250.0,AAA100,Donated income,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,37060.659999999996,37060.659999999996,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,37060.659999999996,regional_grouped,,Asia/Pacific,37060.659999999996,0,,2025-01-01 00:00:00,,Asia/Pacific
7,9782,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,1943000.0,1943000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,1943000.0,regional_grouped,,Europe,1943000.0,0,,2024-01-01 00:00:00,,Europe
8,9792,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,3432390.86,3432390.86,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,3432390.86,regional_grouped,,Europe,3432390.86,0,,2024-01-01 00:00:00,,Europe
9,9794,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,7805000.0,7805000.0,EUR,-,0,National Office / Partners,Donated Income (EUR) by  WWF Office,,0,,7805000.0,regional_grouped,,Europe,7805000.0,0,,2024-01-01 00:00:00,,Europe
10,9808,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,1486505.5999999999,1486505.5999999999,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,1486505.5999999999,regional_grouped,,Latin America/Caribbean,1486505.5999999999,0,,2024-01-01 00:00:00,,Latin America/Caribbean
11,9809,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,384090.88,384090.88,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,384090.88,regional_grouped,,Latin America/Caribbean,384090.88,0,,2024-01-01 00:00:00,,Latin America/Caribbean
12,9829,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-North Africa,Country Office,International Country Office,Europe,Actual,330000.0,330000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,330000.0,regional_grouped,,Europe,330000.0,0,,2024-01-01 00:00:00,,Europe
13,9831,NPO FY2025,2024,1250.0,AAA100,Donated income,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,289740.06000000006,289740.06000000006,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,289740.06000000006,regional_grouped,,Asia/Pacific,289740.06000000006,0,,2024-01-01 00:00:00,,Asia/Pacific
14,18256,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,1551000.0,1551000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,1551000.0,regional_grouped,,Europe,1551000.0,0,,2023-01-01 00:00:00,,Europe
15,18266,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,2326941.34,2326941.34,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,2326941.34,regional_grouped,,Europe,2326941.34,0,,2023-01-01 00:00:00,,Europe
16,18268,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,6720000.0,6720000.0,EUR,-,0,National Office / Partners,Donated Income (EUR) by  WWF Office,,0,,6720000.0,regional_grouped,,Europe,6720000.0,0,,2023-01-01 00:00:00,,Europe
17,18282,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,774427.17,774427.17,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,774427.17,regional_grouped,,Latin America/Caribbean,774427.17,0,,2023-01-01 00:00:00,,Latin America/Caribbean
18,18283,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,426412.99,426412.99,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,426412.99,regional_grouped,,Latin America/Caribbean,426412.99,0,,2023-01-01 00:00:00,,Latin America/Caribbean
19,18303,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-North Africa,Country Office,International Country Office,Europe,Actual,198000.0,198000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,198000.0,regional_grouped,,Europe,198000.0,0,,2023-01-01 00:00:00,,Europe
20,18305,NPO FY2025,2023,1250.0,AAA100,Donated income,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,13273.74,13273.74,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,13273.74,regional_grouped,,Asia/Pacific,13273.74,0,,2023-01-01 00:00:00,,Asia/Pacific
21,29495,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,702000.0,702000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,702000.0,regional_grouped,,Europe,702000.0,0,,2022-01-01 00:00:00,,Europe
22,29505,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,1402535.15,1402535.15,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,1402535.15,regional_grouped,,Europe,1402535.15,0,,2022-01-01 00:00:00,,Europe
23,29507,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,6488000.0,6488000.0,EUR,-,0,National Office / Partners,Donated Income (EUR) by  WWF Office,,0,,6488000.0,regional_grouped,,Europe,6488000.0,0,,2022-01-01 00:00:00,,Europe
24,29521,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,2465455.12,2465455.12,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,2465455.12,regional_grouped,,Latin America/Caribbean,2465455.12,0,,2022-01-01 00:00:00,,Latin America/Caribbean
25,29522,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,126930.83,126930.83,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,126930.83,regional_grouped,,Latin America/Caribbean,126930.83,0,,2022-01-01 00:00:00,,Latin America/Caribbean
26,29543,NPO FY2025,2022,1250.0,AAA100,Donated income,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,393956.57,393956.57,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,393956.57,regional_grouped,,Asia/Pacific,393956.57,0,,2022-01-01 00:00:00,,Asia/Pacific
27,41906,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,829000.0,829000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,829000.0,regional_grouped,,Europe,829000.0,0,,2021-01-01 00:00:00,,Europe
28,41916,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,607889.8,607889.8,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,607889.8,regional_grouped,,Europe,607889.8,0,,2021-01-01 00:00:00,,Europe
29,41918,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,4397000.0,4397000.0,EUR,-,0,National Office / Partners,Donated Income (EUR) by  WWF Office,,0,,4397000.0,regional_grouped,,Europe,4397000.0,0,,2021-01-01 00:00:00,,Europe
30,41932,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,2633171.69,2633171.69,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,2633171.69,regional_grouped,,Latin America/Caribbean,2633171.69,0,,2021-01-01 00:00:00,,Latin America/Caribbean
31,41933,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,488993.58999999997,488993.58999999997,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,488993.58999999997,regional_grouped,,Latin America/Caribbean,488993.58999999997,0,,2021-01-01 00:00:00,,Latin America/Caribbean
32,41954,NPO FY2025,2021,1250.0,AAA100,Donated income,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,366869.52,366869.52,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,366869.52,regional_grouped,,Asia/Pacific,366869.52,0,,2021-01-01 00:00:00,,Asia/Pacific
33,53875,NPO FY2025,2020,1250.0,AAA100,Donated income,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,582000.0,582000.0,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,582000.0,regional_grouped,,Europe,582000.0,0,,2020-01-01 00:00:00,,Europe
34,53885,NPO FY2025,2020,1250.0,AAA100,Donated income,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,862479.1699999999,862479.1699999999,EUR,-,0,Country Office,Donated Income (EUR) by  WWF Office,,0,,862479.1699999999,regional_grouped,,Europe,862479.1699999999,0,,2020-01-01 00:00:00,,Europe
