,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
0,2874,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,3270000.0,3270000.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,3270000.0,regional_grouped,,Europe,3270000.0,0,,2025-01-01 00:00:00,,Europe
1,2884,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,3633995.92,3633995.92,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,3633995.92,regional_grouped,,Europe,3633995.92,0,,2025-01-01 00:00:00,,Europe
2,2886,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,8853000.0,8853000.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,National Office / Partners,Conservation Spend (EUR) by WWF Office,,0,,8853000.0,regional_grouped,,Europe,8853000.0,0,,2025-01-01 00:00:00,,Europe
3,2900,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,6706156.0,6706156.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,6706156.0,regional_grouped,,Latin America/Caribbean,6706156.0,0,,2025-01-01 00:00:00,,Latin America/Caribbean
4,2901,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,2034222.31,2034222.31,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,2034222.31,regional_grouped,,Latin America/Caribbean,2034222.31,0,,2025-01-01 00:00:00,,Latin America/Caribbean
5,2921,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-North Africa,Country Office,International Country Office,Europe,Actual,2166000.0,2166000.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,2166000.0,regional_grouped,,Europe,2166000.0,0,,2025-01-01 00:00:00,,Europe
6,2923,NPO FY2025,2025,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,3618912.9200000004,3618912.9200000004,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,3618912.9200000004,regional_grouped,,Asia/Pacific,3618912.9200000004,0,,2025-01-01 00:00:00,,Asia/Pacific
7,11394,NPO FY2025,2024,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Adria,Country Office,International Country Office,Europe,Actual,2960000.0,2960000.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,2960000.0,regional_grouped,,Europe,2960000.0,0,,2024-01-01 00:00:00,,Europe
8,11404,NPO FY2025,2024,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,2565084.9699999997,2565084.9699999997,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,Country Office,Conservation Spend (EUR) by WWF Office,,0,,2565084.9699999997,regional_grouped,,Europe,2565084.9699999997,0,,2024-01-01 00:00:00,,Europe
9,11406,NPO FY2025,2024,1266.0,BBB110,Conservation spend within national borders,Currency,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,9662000.0,9662000.0,EUR,"All conservation spend, including policy, programme, education, communications, Network services and TRAFFIC, including the part of finance, and management and operations spend allocated to conservation through cost recovery.",0,National Office / Partners,Conservation Spend (EUR) by WWF Office,,0,,9662000.0,regional_grouped,,Europe,9662000.0,0,,2024-01-01 00:00:00,,Europe
