,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
0,6329,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Adria,Country Office,International Country Office,Europe,Actual,1469.0,1469.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,1469.0,regional_grouped,,Europe,1469.0,0,,2025-01-01 00:00:00,,Europe
1,6339,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,1355.0,1355.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,1355.0,regional_grouped,,Europe,1355.0,0,,2025-01-01 00:00:00,,Europe
2,6341,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,973094.0,973094.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,,0,,973094.0,regional_grouped,,Europe,973094.0,0,,2025-01-01 00:00:00,,Europe
3,6355,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,3.0,3.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,3.0,regional_grouped,,Latin America/Caribbean,3.0,0,,2025-01-01 00:00:00,,Latin America/Caribbean
4,6356,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,0.0,0.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,0.0,regional_grouped,,Latin America/Caribbean,0.0,0,,2025-01-01 00:00:00,,Latin America/Caribbean
5,6376,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-North Africa,Country Office,International Country Office,Europe,Actual,15.0,15.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,15.0,regional_grouped,,Europe,15.0,0,,2025-01-01 00:00:00,,Europe
6,6378,NPO FY2025,2025,1354.0,DDD400,Total Supporters and partners,Number,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,1.0,1.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,1.0,regional_grouped,,Asia/Pacific,1.0,0,,2025-01-01 00:00:00,,Asia/Pacific
7,14823,NPO FY2025,2024,1354.0,DDD400,Total Supporters and partners,Number,WWF-Adria,Country Office,International Country Office,Europe,Actual,820.0,820.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,820.0,regional_grouped,,Europe,820.0,0,,2024-01-01 00:00:00,,Europe
8,14833,NPO FY2025,2024,1354.0,DDD400,Total Supporters and partners,Number,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,854.0,854.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,,0,,854.0,regional_grouped,,Europe,854.0,0,,2024-01-01 00:00:00,,Europe
9,14835,NPO FY2025,2024,1354.0,DDD400,Total Supporters and partners,Number,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,1018073.0,1018073.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,,0,,1018073.0,regional_grouped,,Europe,1018073.0,0,,2024-01-01 00:00:00,,Europe
