,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,Presentation_Type,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
0,6916,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Adria,Country Office,International Country Office,Europe,Actual,27.0,27.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,27.0,regional_grouped,,Europe,27.0,,0,,2025-01-01 00:00:00,,Europe
1,6926,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,30.0,30.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,30.0,regional_grouped,,Europe,30.0,,0,,2025-01-01 00:00:00,,Europe
2,6928,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,51.0,51.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,National Office / Partners,CO2 Emissions (mTCO2e) by WWF Office,,0,,51.0,regional_grouped,,Europe,51.0,,0,,2025-01-01 00:00:00,,Europe
3,6942,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,65.0,65.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,65.0,regional_grouped,,Latin America/Caribbean,65.0,,0,,2025-01-01 00:00:00,,Latin America/Caribbean
4,6943,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,19.0,19.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,19.0,regional_grouped,,Latin America/Caribbean,19.0,,0,,2025-01-01 00:00:00,,Latin America/Caribbean
5,6963,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-North Africa,Country Office,International Country Office,Europe,Actual,32.0,32.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,32.0,regional_grouped,,Europe,32.0,,0,,2025-01-01 00:00:00,,Europe
6,6965,NPO FY2025,2025,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,0.0,0.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,0.0,regional_grouped,,Asia/Pacific,0.0,,0,,2025-01-01 00:00:00,,Asia/Pacific
7,15407,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Adria,Country Office,International Country Office,Europe,Actual,27.0,27.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,27.0,regional_grouped,,Europe,27.0,,0,,2024-01-01 00:00:00,,Europe
8,15417,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,14.0,14.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,14.0,regional_grouped,,Europe,14.0,,0,,2024-01-01 00:00:00,,Europe
9,15419,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,50.0,50.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,National Office / Partners,CO2 Emissions (mTCO2e) by WWF Office,,0,,50.0,regional_grouped,,Europe,50.0,,0,,2024-01-01 00:00:00,,Europe
10,15433,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,90.0,90.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,90.0,regional_grouped,,Latin America/Caribbean,90.0,,0,,2024-01-01 00:00:00,,Latin America/Caribbean
11,15434,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,17.0,17.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,17.0,regional_grouped,,Latin America/Caribbean,17.0,,0,,2024-01-01 00:00:00,,Latin America/Caribbean
12,15454,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-North Africa,Country Office,International Country Office,Europe,Actual,64.8,64.8,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,64.8,regional_grouped,,Europe,64.8,,0,,2024-01-01 00:00:00,,Europe
13,15456,NPO FY2025,2024,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Pacific,Country Office,International Country Office,Asia/Pacific,Actual,182.0,182.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,182.0,regional_grouped,,Asia/Pacific,182.0,,0,,2024-01-01 00:00:00,,Asia/Pacific
14,26503,NPO FY2025,2023,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Adria,Country Office,International Country Office,Europe,Actual,27.0,27.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,27.0,regional_grouped,,Europe,27.0,,0,,2023-01-01 00:00:00,,Europe
15,26513,NPO FY2025,2023,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Caucasus,Country Office,International Country Office,Europe,Actual,6.0,6.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,6.0,regional_grouped,,Europe,6.0,,0,,2023-01-01 00:00:00,,Europe
16,26515,NPO FY2025,2023,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Central and Eastern Europe,National Office,National Office,Europe,Actual,57.0,57.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,National Office / Partners,CO2 Emissions (mTCO2e) by WWF Office,,0,,57.0,regional_grouped,,Europe,57.0,,0,,2023-01-01 00:00:00,,Europe
17,26529,NPO FY2025,2023,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guatemala/Mesoamerica,Country Office,US Country Office,Latin America/Caribbean,Actual,39.0,39.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,39.0,regional_grouped,,Latin America/Caribbean,39.0,,0,,2023-01-01 00:00:00,,Latin America/Caribbean
18,26530,NPO FY2025,2023,197.0,F1,Total CO2 emissions caused by business air travel (tonnes),Number,WWF-Guianas,Country Office,US Country Office,Latin America/Caribbean,Actual,23.0,23.0,,Scope 3: WWF offices are asked to report and monitor their flight travels carbon emissions through the South Pole portal so that they shall share the same methodology to calculate their flight travels carbon emissions.,0,Country Office,CO2 Emissions (mTCO2e) by WWF Office,,0,,23.0,regional_grouped,,Latin America/Caribbean,23.0,,0,,2023-01-01 00:00:00,,Latin America/Caribbean
