,office_country_andreas_data,opensource_world_border_data_name
0,Portugal,Portugal
1,United Arab Emirates,United Arab Emirates
2,Switzerland,Switzerland
3,Croatia,Croatia
4,Albania,Albania
5,Bosnia and Herzegovina,Bosnia and Herzegovina
6,Montenegro,Montenegro
7,North Macedonia,
8,Serbia,Serbia
9,Republic of Kosovo,
10,Slovenia,Slovenia
11,Australia,Australia
12,Austria,Austria
13,Belgium,Belgium
14,Bhutan,Bhutan
15,Bolivia,Bolivia
16,Brazil,Brazil
17,Cambodia,Cambodia
18,Cameroon,Cameroon
19,Canada,Canada
20,Georgia,Georgia
21,Armenia,Armenia
22,Azerbaijan,Azerbaijan
23,Central African Republic,Central African Republic
24,Bulgaria,Bulgaria
25,Czech Republic,Czech Republic
26,Hungary,Hungary
27,Moldova,Republic of Moldova
28,Romania,Romania
29,Slovakia,Slovakia
30,Ukraine,Ukraine
31,Chile,Chile
32,China,China
33,Colombia,Colombia
34,Democratic Republic of the Congo,Democratic Republic of the Congo
35,Denmark,Denmark
36,Ecuador,Ecuador
37,Finland,Finland
38,France,France
39,Gabon,Gabon
40,Germany,Germany
41,Vietnam,Viet Nam
42,Greece,Greece
43,Guatemala,Guatemala
44,Belize,Belize
45,Honduras,Honduras
46,Suriname,Suriname
47,Guyana,Guyana
48,"Hong Kong, Special Administrative Region of China",Hong Kong
49,India,India
50,Indonesia,Indonesia
51,Italy,Italy
52,Japan,Japan
53,Kenya,Kenya
54,South Korea,"Korea, Republic of"
55,Laos,Lao People's Democratic Republic
56,Madagascar,Madagascar
57,Malaysia,Malaysia
58,Mexico,Mexico
59,Mongolia,Mongolia
60,Mozambique,Mozambique
61,Myanmar,Burma
62,Namibia,Namibia
63,Nepal,Nepal
64,Netherlands,Netherlands
65,New Zealand,New Zealand
66,Tunisia,Tunisia
67,Algeria,Algeria
68,Libya,Libyan Arab Jamahiriya
69,Morocco,Morocco
70,Norway,Norway
71,Fiji,Fiji
72,Papua New Guinea,Papua New Guinea
73,Solomon,Solomon Islands
74,Pakistan,Pakistan
75,Paraguay,Paraguay
76,Peru,Peru
77,Philippines,Philippines
78,Poland,Poland
79,Republic of Congo,Congo
80,Singapore,Singapore
81,South Africa,South Africa
82,Spain,Spain
83,Sweden,Sweden
84,"Tanzania, United Republic of",United Republic of Tanzania
85,Thailand,Thailand
86,Turkey,Turkey
87,Uganda,Uganda
88,United Kingdom,United Kingdom
89,United States of America,United States
90,Zambia,Zambia
91,Zimbabwe,Zimbabwe
